Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
647	22886.6	28764.5	22886.6	28764.5	1170.28894	6456.87451	299.85483	1.36569	1.13009	1363.97412	6949.26563	60	1	6	1	9.576	9.576	1162.23741	10.54601	22886.6	28764.5	22886.6	28764.5
647	25961.9	2421.7	25961.9	2421.7	1405.44604	15620.93848	317.57324	0.45576	0.84237	1154.18518	15995.85156	62	2	0	1	74.4102	74.4102	2811.76893	6.51790	25961.9	2421.7	25961.9	2421.7
647	12254.4	18026.1	12254.4	18026.1	1211.62939	11034.50977	390.20499	0.14201	1.70337	1343.69946	12295.14063	63	1	5	1	-136.224	-136.224	1986.21176	10.36035	12254.4	18026.1	12254.4	18026.1
647	10295.8	6167.8	10295.8	6167.8	1019.42981	6229.11279	316.01974	0.52937	0.93756	1157.07227	6758.46094	65	1	1	1	46.5714	46.5714	1121.24030	11.19923	10295.8	6167.8	10295.8	6167.8
647	25964.3	2432.6	25964.3	2432.6	1279.99524	7373.67432	306.89346	1.22534	0.65371	1130.90259	7732.41016	66	1	0	1	127.89	127.89	1327.26138	9.06424	25964.3	2432.6	25964.3	2432.6
647	25945.8	2416.7	25945.8	2416.7	1059.61377	5958.34766	303.16647	1.09871	0.75895	1123.07532	6280.36328	68	1	1	1	94.923	94.923	1072.50258	10.69526	25945.8	2416.7	25945.8	2416.7
647	25953.4	2431.8	25953.4	2431.8	1135.52026	35432.58984	323.74881	0.20694	0.86072	1105.21021	35979.47266	70	5	0	1	70.0146	70.0146	6377.86617	4.57220	25953.4	2431.8	25953.4	2431.8
647	23446.3	17385.5	23446.3	17385.5	1167.93298	8330.53516	344.44012	0.25285	1.15047	1517.78809	8587.38281	73	1	3	1	-14.4	-14.4	1499.49633	11.22509	23446.3	17385.5	23446.3	17385.5
647	25948.1	2431.5	25948.1	2431.5	1075.67737	7033.45996	326.77301	0.10062	0.92874	1068.85364	7495.17188	79	1	0	1	48.0366	48.0366	1266.02279	10.32670	25948.1	2431.5	25948.1	2431.5
647	9200.5	22898.0	9200.5	22898.0	1085.33740	12298.60449	295.25739	1.47990	1.07197	982.24969	12678.53125	79	2	7	1	20.9304	20.9304	2213.74881	6.66424	9200.5	22898.0	9200.5	22898.0
647	37876.4	8951.2	37876.4	8951.2	1092.87378	7238.46826	328.69830	0.02727	0.93167	1177.20764	7497.82422	82	1	2	1	47.304	47.304	1302.92429	10.56672	37876.4	8951.2	37876.4	8951.2
647	25981.6	2426.3	25981.6	2426.3	1085.58728	18243.16211	305.73285	1.08875	0.71264	1150.21704	18949.99219	86	3	0	1	109.575	109.575	3283.76918	6.21334	25981.6	2426.3	25981.6	2426.3
647	17303.5	20375.7	17303.5	20375.7	1100.29102	7984.49268	341.96329	0.19291	0.65319	1325.79150	8609.13281	87	1	3	1	165.253	165.253	1437.20868	10.89220	17303.5	20375.7	17303.5	20375.7
647	39503.1	8114.4	39503.1	8114.4	1176.08728	9290.49902	357.55002	0.18841	1.37459	1215.19885	9769.46875	89	1	2	1	-63.648	-63.648	1672.28982	9.93594	39503.1	8114.4	39503.1	8114.4
647	12297.0	17990.9	12297.0	17990.9	1072.26892	10242.53809	393.96954	0.89831	1.47132	1248.70740	10939.43750	89	1	3	1	-111.6	-111.6	1843.65686	10.94639	12297.0	17990.9	12297.0	17990.9
647	25974.1	2437.8	25974.1	2437.8	1209.06995	7571.58057	318.34692	0.73286	0.68379	1175.59485	8263.52344	90	1	0	1	127.89	127.89	1362.88450	9.58420	25974.1	2437.8	25974.1	2437.8
647	12268.0	18028.4	12268.0	18028.4	1124.56921	10055.30273	381.34119	1.29940	1.21655	1219.91309	10857.47656	91	1	2	1	-55.224	-55.224	1809.95449	10.39846	12268.0	18028.4	12268.0	18028.4
647	25956.8	2434.9	25956.8	2434.9	1211.27368	25269.11328	301.78934	1.09404	0.92274	1109.64355	25653.85938	92	4	0	1	50.967	50.967	4548.44039	5.01049	25956.8	2434.9	25956.8	2434.9
647	12357.0	5162.9	12357.0	5162.9	1504.19458	52688.31641	339.91611	0.34118	0.79716	1662.85059	71010.23438	96	5	0	1	102.249	102.249	9483.89695	4.10886	12357.0	5162.9	12357.0	5162.9
647	12259.8	17983.1	12259.8	17983.1	1124.76355	8585.40332	352.71295	0.86985	0.95591	1221.00305	9201.85156	96	1	2	1	34.1172	34.1172	1545.37260	10.43013	12259.8	17983.1	12259.8	17983.1
647	40894.6	20943.7	40894.6	20943.7	1036.00256	11023.61426	420.33710	0.59291	1.72366	1561.62610	11806.78906	99	1	6	1	-171.216	-171.216	1984.25057	12.64546	40894.6	20943.7	40894.6	20943.7
647	17354.1	20350.4	17354.1	20350.4	1318.41711	9264.62012	338.97055	0.27870	0.78391	1335.03772	9849.62500	103	1	5	1	108.11	108.11	1667.63162	9.40279	17354.1	20350.4	17354.1	20350.4
647	25935.8	2447.1	25935.8	2447.1	1160.15344	6931.55469	312.06213	0.70368	0.79876	1046.81372	7380.12891	111	1	0	1	86.8644	86.8644	1247.67984	9.56893	25935.8	2447.1	25935.8	2447.1
647	25953.4	2427.6	25953.4	2427.6	1529.14343	8193.14063	295.50037	1.33917	0.87569	1111.65894	8544.71094	113	1	0	1	62.6886	62.6886	1474.76531	7.69654	25953.4	2427.6	25953.4	2427.6
647	25924.4	2425.9	25924.4	2425.9	1148.18494	7130.07910	318.14658	0.42635	0.88902	1040.42041	7444.39844	116	1	0	1	60.4908	60.4908	1283.41424	9.63108	25924.4	2425.9	25924.4	2425.9
647	25963.2	2421.9	25963.2	2421.9	1359.04614	13250.38867	297.03217	1.28753	0.81819	1063.09033	13836.14844	119	2	0	1	76.608	76.608	2385.06996	6.49881	25963.2	2421.9	25963.2	2421.9
647	10278.2	6137.0	10278.2	6137.0	1324.03650	13560.92773	294.33365	1.43731	0.98573	1100.62964	13993.29688	120	2	2	1	37.7802	37.7802	2440.96699	6.35064	10278.2	6137.0	10278.2	6137.0
647	25969.3	2430.8	25969.3	2430.8	1077.33118	16238.67188	329.32358	0.01319	0.87664	1075.79785	17060.81250	125	2	0	1	65.619	65.619	2922.96094	6.53293	25969.3	2430.8	25969.3	2430.8
647	12357.1	5149.5	12357.1	5149.5	1294.20117	7926.84570	313.23239	0.73324	0.74844	1419.93921	9657.82813	128	1	0	1	102.982	102.982	1426.83223	9.63042	12357.1	5149.5	12357.1	5149.5
647	22892.8	28753.0	22892.8	28753.0	1025.73376	7233.38037	341.09207	0.20899	1.32294	1221.45996	7846.02344	128	1	7	1	-42.912	-42.912	1302.00847	11.46979	22892.8	28753.0	22892.8	28753.0
647	25960.2	2428.9	25960.2	2428.9	1273.15991	22164.43750	302.37863	1.05905	0.85394	1014.09650	22683.80859	131	3	0	1	68.5494	68.5494	3989.59875	4.88767	25960.2	2428.9	25960.2	2428.9
647	37792.2	8957.6	37792.2	8957.6	1198.09534	32289.57813	335.04837	0.22682	0.85190	1140.76038	32704.96875	131	4	3	1	75.8754	75.8754	5812.12406	4.89607	37792.2	8957.6	37792.2	8957.6
647	10298.6	6112.8	10298.6	6112.8	1094.53162	5761.09326	292.86829	1.44761	0.87559	1065.60864	6357.17578	135	1	0	1	61.956	61.956	1036.99679	10.15612	10298.6	6112.8	10298.6	6112.8
647	20412.4	20745.7	20412.4	20745.7	1022.99420	10752.61719	419.73572	1.27082	1.52160	1316.27161	11319.08594	140	1	5	1	-147.888	-147.888	1935.47109	12.00657	20412.4	20745.7	20412.4	20745.7
647	25951.2	2414.1	25951.2	2414.1	1161.47571	18057.11328	294.69394	1.37211	0.85961	1007.52692	18453.55078	150	3	0	1	66.3516	66.3516	3250.28039	5.58012	25951.2	2414.1	25951.2	2414.1
647	19836.4	2972.8	19836.4	2972.8	1184.65063	7415.84277	319.40509	0.38518	0.91850	998.83533	7701.07031	150	1	1	1	51.6996	51.6996	1334.85170	9.22280	19836.4	2972.8	19836.4	2972.8
647	22864.4	28801.0	22864.4	28801.0	1043.01917	6235.75781	312.14685	0.93633	1.16110	1237.01050	6710.48438	158	1	7	1	-0.144	-0.144	1122.43641	11.24371	22864.4	28801.0	22864.4	28801.0
